epsilon, dim, number_of_threads, algo_type, id_rep, compression_ratio, space_saving, time (s)
1e-10, 524288, 16, TaskBased, mean, N.A, N.A, 10.0156
1e-10, 524288, 16, TaskBased, stddev, N.A, N.A, 0.344796
1e-08, 524288, 1, Classic, 0, 216.496, 0.995381, 37.1569
1e-08, 524288, 1, Classic, 1, 216.496, 0.995381, 36.9578
1e-08, 524288, 1, Classic, 2, 216.496, 0.995381, 36.7719
1e-08, 524288, 1, Classic, 3, 216.496, 0.995381, 36.7477
1e-08, 524288, 1, Classic, 4, 216.496, 0.995381, 36.7509
1e-08, 524288, 1, Classic, 5, 216.496, 0.995381, 36.7419
1e-08, 524288, 1, Classic, 6, 216.496, 0.995381, 36.7654
1e-08, 524288, 1, Classic, 7, 216.496, 0.995381, 36.7916
1e-08, 524288, 1, Classic, 8, 216.496, 0.995381, 36.7498
1e-08, 524288, 1, Classic, mean, N.A, N.A, 36.826
1e-08, 524288, 1, Classic, stddev, N.A, N.A, 0.141123
1e-08, 524288, 2, Classic, 0, 216.496, 0.995381, 18.8909
1e-08, 524288, 2, Classic, 1, 216.496, 0.995381, 18.6946
1e-08, 524288, 2, Classic, 2, 216.496, 0.995381, 18.7142
1e-08, 524288, 2, Classic, 3, 216.496, 0.995381, 18.7
1e-08, 524288, 2, Classic, 4, 216.496, 0.995381, 18.9308
1e-08, 524288, 2, Classic, 5, 216.496, 0.995381, 18.9746
1e-08, 524288, 2, Classic, 6, 216.496, 0.995381, 18.7651
1e-08, 524288, 2, Classic, 7, 216.496, 0.995381, 18.8424
1e-08, 524288, 2, Classic, 8, 216.496, 0.995381, 18.791
1e-08, 524288, 2, Classic, mean, N.A, N.A, 18.8115
1e-08, 524288, 2, Classic, stddev, N.A, N.A, 0.103816
1e-08, 524288, 4, Classic, 0, 216.496, 0.995381, 10.5937
1e-08, 524288, 4, Classic, 1, 216.496, 0.995381, 9.55274
1e-08, 524288, 4, Classic, 2, 216.496, 0.995381, 9.60537
1e-08, 524288, 4, Classic, 3, 216.496, 0.995381, 9.85877
1e-08, 524288, 4, Classic, 4, 216.496, 0.995381, 9.53652
1e-08, 524288, 4, Classic, 5, 216.496, 0.995381, 9.52833
1e-08, 524288, 4, Classic, 6, 216.496, 0.995381, 9.58663
1e-08, 524288, 4, Classic, 7, 216.496, 0.995381, 9.59788
1e-08, 524288, 4, Classic, 8, 216.496, 0.995381, 9.2917
1e-08, 524288, 4, Classic, mean, N.A, N.A, 9.68352
1e-08, 524288, 4, Classic, stddev, N.A, N.A, 0.370531
1e-08, 524288, 8, Classic, 0, 216.496, 0.995381, 8.33514
1e-08, 524288, 8, Classic, 1, 216.496, 0.995381, 8.49687
1e-08, 524288, 8, Classic, 2, 216.496, 0.995381, 8.79305
1e-08, 524288, 8, Classic, 3, 216.496, 0.995381, 8.57339
1e-08, 524288, 8, Classic, 4, 216.496, 0.995381, 9.30859
1e-08, 524288, 8, Classic, 5, 216.496, 0.995381, 8.41184
1e-08, 524288, 8, Classic, 6, 216.496, 0.995381, 8.67212
1e-08, 524288, 8, Classic, 7, 216.496, 0.995381, 8.23591
1e-08, 524288, 8, Classic, 8, 216.496, 0.995381, 8.40424
1e-08, 524288, 8, Classic, mean, N.A, N.A, 8.58124
1e-08, 524288, 8, Classic, stddev, N.A, N.A, 0.321945
1e-08, 524288, 16, Classic, 0, 216.496, 0.995381, 8.27918
1e-08, 524288, 16, Classic, 1, 216.496, 0.995381, 9.1234
1e-08, 524288, 16, Classic, 2, 216.496, 0.995381, 8.00297
1e-08, 524288, 16, Classic, 3, 216.496, 0.995381, 7.89416
1e-08, 524288, 16, Classic, 4, 216.496, 0.995381, 8.51485
1e-08, 524288, 16, Classic, 5, 216.496, 0.995381, 8.28694
1e-08, 524288, 16, Classic, 6, 216.496, 0.995381, 8.70693
1e-08, 524288, 16, Classic, 7, 216.496, 0.995381, 8.20707
1e-08, 524288, 16, Classic, 8, 216.496, 0.995381, 7.92477
1e-08, 524288, 16, Classic, mean, N.A, N.A, 8.3267
1e-08, 524288, 16, Classic, stddev, N.A, N.A, 0.400981
1e-08, 524288, 1, TaskBased, 0, 216.496, 0.995381, 36.8785
1e-08, 524288, 1, TaskBased, 1, 216.496, 0.995381, 36.8585
1e-08, 524288, 1, TaskBased, 2, 216.496, 0.995381, 36.7382
1e-08, 524288, 1, TaskBased, 3, 216.496, 0.995381, 36.6866
1e-08, 524288, 1, TaskBased, 4, 216.496, 0.995381, 36.755
1e-08, 524288, 1, TaskBased, 5, 216.496, 0.995381, 36.7385
1e-08, 524288, 1, TaskBased, 6, 216.496, 0.995381, 36.7334
1e-08, 524288, 1, TaskBased, 7, 216.496, 0.995381, 36.7205
1e-08, 524288, 1, TaskBased, 8, 216.496, 0.995381, 36.7593
1e-08, 524288, 1, TaskBased, mean, N.A, N.A, 36.7632
1e-08, 524288, 1, TaskBased, stddev, N.A, N.A, 0.0635015
1e-08, 524288, 2, TaskBased, 0, 216.496, 0.995381, 19.1203
1e-08, 524288, 2, TaskBased, 1, 216.496, 0.995381, 18.5778
1e-08, 524288, 2, TaskBased, 2, 216.496, 0.995381, 18.517
1e-08, 524288, 2, TaskBased, 3, 216.496, 0.995381, 18.4841
1e-08, 524288, 2, TaskBased, 4, 216.496, 0.995381, 18.5
1e-08, 524288, 2, TaskBased, 5, 216.496, 0.995381, 19.1055
1e-08, 524288, 2, TaskBased, 6, 216.496, 0.995381, 18.7195
1e-08, 524288, 2, TaskBased, 7, 216.496, 0.995381, 19.1527
1e-08, 524288, 2, TaskBased, 8, 216.496, 0.995381, 18.7028
1e-08, 524288, 2, TaskBased, mean, N.A, N.A, 18.7644
1e-08, 524288, 2, TaskBased, stddev, N.A, N.A, 0.283751
