epsilon, dim, number_of_threads, algo_type, id_rep, compression_ratio, space_saving, time (s)
1e-10, 65536, 1, TaskBased, 1, 27.2031, 0.963239, 23.3653
1e-10, 65536, 1, TaskBased, 2, 27.2031, 0.963239, 23.3711
1e-10, 65536, 1, TaskBased, 3, 27.2031, 0.963239, 23.4025
1e-10, 65536, 1, TaskBased, 4, 27.2031, 0.963239, 23.3849
1e-10, 65536, 1, TaskBased, 5, 27.2031, 0.963239, 23.3769
1e-10, 65536, 1, TaskBased, 6, 27.2031, 0.963239, 23.3567
1e-10, 65536, 1, TaskBased, 7, 27.2031, 0.963239, 23.3695
1e-10, 65536, 1, TaskBased, 8, 27.2031, 0.963239, 23.357
1e-10, 65536, 1, TaskBased, mean, N.A, N.A, 23.372
1e-10, 65536, 1, TaskBased, stddev, N.A, N.A, 0.0145551
1e-10, 131072, 1, Classic, 0, 48.939, 0.979566, 53.023
1e-10, 131072, 1, Classic, 1, 48.939, 0.979566, 52.8342
1e-10, 131072, 1, Classic, 2, 48.939, 0.979566, 52.8212
1e-10, 131072, 1, Classic, 3, 48.939, 0.979566, 52.8187
1e-10, 131072, 1, Classic, 4, 48.939, 0.979566, 52.8364
1e-10, 131072, 1, Classic, 5, 48.939, 0.979566, 52.8226
1e-10, 131072, 1, Classic, 6, 48.939, 0.979566, 52.8338
1e-10, 131072, 1, Classic, 7, 48.939, 0.979566, 52.827
1e-10, 131072, 1, Classic, 8, 48.939, 0.979566, 52.8338
1e-10, 131072, 1, Classic, mean, N.A, N.A, 52.8501
1e-10, 131072, 1, Classic, stddev, N.A, N.A, 0.0651474
1e-10, 131072, 1, TaskBased, 0, 48.939, 0.979566, 52.8997
1e-10, 131072, 1, TaskBased, 1, 48.939, 0.979566, 52.924
1e-10, 131072, 1, TaskBased, 2, 48.939, 0.979566, 52.9265
1e-10, 131072, 1, TaskBased, 3, 48.939, 0.979566, 52.9374
1e-10, 131072, 1, TaskBased, 4, 48.939, 0.979566, 52.8932
1e-10, 131072, 1, TaskBased, 5, 48.939, 0.979566, 52.8814
1e-10, 131072, 1, TaskBased, 6, 48.939, 0.979566, 52.8795
1e-10, 131072, 1, TaskBased, 7, 48.939, 0.979566, 52.8816
1e-10, 131072, 1, TaskBased, 8, 48.939, 0.979566, 52.8749
1e-10, 131072, 1, TaskBased, mean, N.A, N.A, 52.8998
1e-10, 131072, 1, TaskBased, stddev, N.A, N.A, 0.0236203
1e-10, 262144, 1, Classic, 0, 87.2301, 0.988536, 120.888
1e-10, 262144, 1, Classic, 1, 87.2301, 0.988536, 120.579
