epsilon, dim, number_of_threads, algo_type, symmetry_type, id_rep, compression_ratio, space_saving, factorization_time (s), solve_time (s) 
0.0001, 16384, 1, TaskBased, S, mean, 33.0173, 0.969065, 5.53936, 1.14048
0.0001, 16384, 1, TaskBased, S, std_dev, 6.7567, 0.00633002, 1.26114, 0.696751
0.0001, 32768, 1, Classic, S, 0, 50.0241, 0.98001, 15.1492, 1.70851
0.0001, 32768, 1, Classic, S, 1, 70.6924, 0.985854, 14.5638, 1.69363
0.0001, 32768, 1, Classic, S, mean, 60.3583, 0.982932, 14.8565, 1.70107
0.0001, 32768, 1, Classic, S, std_dev, 14.6147, 0.00413233, 0.413968, 0.0105256
0.0001, 32768, 1, TaskBased, S, 0, 50.0241, 0.98001, 14.6785, 3.65992
0.0001, 32768, 1, TaskBased, S, 1, 69.1975, 0.985549, 11.303, 1.45297
0.0001, 32768, 1, TaskBased, S, mean, 59.6108, 0.98278, 12.9908, 2.55644
0.0001, 32768, 1, TaskBased, S, std_dev, 13.5576, 0.00391666, 2.38684, 1.56056
0.0001, 65536, 1, Classic, S, 0, 88.5853, 0.988711, 35.2328, 3.9337
0.0001, 65536, 1, Classic, S, 1, 127.425, 0.992152, 34.432, 3.93526
0.0001, 65536, 1, Classic, S, mean, 108.005, 0.990432, 34.8324, 3.93448
0.0001, 65536, 1, Classic, S, std_dev, 27.4641, 0.00243315, 0.566249, 0.00110374
0.0001, 65536, 1, TaskBased, S, 0, 88.5853, 0.988711, 34.8076, 8.02098
0.0001, 65536, 1, TaskBased, S, 1, 125.543, 0.992035, 27.8227, 3.22892
0.0001, 65536, 1, TaskBased, S, mean, 107.064, 0.990373, 31.3152, 5.62495
0.0001, 65536, 1, TaskBased, S, std_dev, 26.1332, 0.00235042, 4.93904, 3.3885
0.0001, 131072, 1, Classic, S, 0, 168.108, 0.994051, 68.7459, 7.39262
0.0001, 131072, 1, Classic, S, 1, 241.885, 0.995866, 66.9192, 8.07854
0.0001, 131072, 1, Classic, S, mean, 204.996, 0.994959, 67.8325, 7.73558
0.0001, 131072, 1, Classic, S, std_dev, 52.1684, 0.0012834, 1.2917, 0.48502
0.0001, 131072, 1, TaskBased, S, 0, 168.108, 0.994051, 67.3733, 16.3295
0.0001, 131072, 1, TaskBased, S, 1, 240.154, 0.995836, 58.0509, 6.51362
0.0001, 131072, 1, TaskBased, S, mean, 204.131, 0.994943, 62.7121, 11.4215
0.0001, 131072, 1, TaskBased, S, std_dev, 50.9446, 0.00126219, 6.59195, 6.94085
0.0001, 262144, 1, Classic, S, 0, 298.266, 0.996647, 175.449, 16.8307
0.0001, 262144, 1, Classic, S, 1, 435.06, 0.997701, 174.531, 16.9253
0.0001, 262144, 1, Classic, S, mean, 366.663, 0.997174, 174.99, 16.878
0.0001, 262144, 1, Classic, S, std_dev, 96.7278, 0.000745291, 0.648624, 0.0668771
0.0001, 262144, 1, TaskBased, S, 0, 298.266, 0.996647, 176.821, 36.5938
0.0001, 262144, 1, TaskBased, S, 1, 430.516, 0.997677, 149.278, 14.9781
0.0001, 262144, 1, TaskBased, S, mean, 364.391, 0.997162, 163.049, 25.7859
0.0001, 262144, 1, TaskBased, S, std_dev, 93.5147, 0.00072832, 19.4757, 15.2846
