epsilon, dim, number_of_threads, algo_type, id_rep, compression_ratio, space_saving, time (s)
1e-10, 131072, 4, TaskBased, 5, 48.939, 0.979566, 7.65715
1e-10, 131072, 4, TaskBased, 6, 48.939, 0.979566, 7.53663
1e-10, 131072, 4, TaskBased, 7, 48.939, 0.979566, 7.84893
1e-10, 131072, 4, TaskBased, 8, 48.939, 0.979566, 7.40739
1e-10, 131072, 4, TaskBased, mean, N.A, N.A, 7.58544
1e-10, 131072, 4, TaskBased, stddev, N.A, N.A, 0.165325
1e-10, 262144, 8, Classic, 0, 87.2301, 0.988536, 10.0304
1e-10, 262144, 8, Classic, 1, 87.2301, 0.988536, 9.76962
1e-10, 262144, 8, Classic, 2, 87.2301, 0.988536, 9.95939
1e-10, 262144, 8, Classic, 3, 87.2301, 0.988536, 9.79021
1e-10, 262144, 8, Classic, 4, 87.2301, 0.988536, 10.3194
1e-10, 262144, 8, Classic, 5, 87.2301, 0.988536, 9.98959
1e-10, 262144, 8, Classic, 6, 87.2301, 0.988536, 10.0256
1e-10, 262144, 8, Classic, 7, 87.2301, 0.988536, 9.68337
1e-10, 262144, 8, Classic, 8, 87.2301, 0.988536, 9.58084
1e-10, 262144, 8, Classic, mean, N.A, N.A, 9.90538
1e-10, 262144, 8, Classic, stddev, N.A, N.A, 0.222993
1e-10, 262144, 8, TaskBased, 0, 87.2301, 0.988536, 10.9046
1e-10, 262144, 8, TaskBased, 1, 87.2301, 0.988536, 10.5757
1e-10, 262144, 8, TaskBased, 2, 87.2301, 0.988536, 10.7404
1e-10, 262144, 8, TaskBased, 3, 87.2301, 0.988536, 10.3102
1e-10, 262144, 8, TaskBased, 4, 87.2301, 0.988536, 10.5848
1e-10, 262144, 8, TaskBased, 5, 87.2301, 0.988536, 10.5177
1e-10, 262144, 8, TaskBased, 6, 87.2301, 0.988536, 10.5447
1e-10, 262144, 8, TaskBased, 7, 87.2301, 0.988536, 10.3531
1e-10, 262144, 8, TaskBased, 8, 87.2301, 0.988536, 10.5111
1e-10, 262144, 8, TaskBased, mean, N.A, N.A, 10.5602
1e-10, 262144, 8, TaskBased, stddev, N.A, N.A, 0.180896
1e-10, 524288, 16, Classic, 0, 158.122, 0.993676, 16.9441
1e-10, 524288, 16, Classic, 1, 158.122, 0.993676, 15.9424
1e-10, 524288, 16, Classic, 2, 158.122, 0.993676, 15.7782
1e-10, 524288, 16, Classic, 3, 158.122, 0.993676, 14.7002
1e-10, 524288, 16, Classic, 4, 158.122, 0.993676, 15.2299
1e-10, 524288, 16, Classic, 5, 158.122, 0.993676, 16.1159
1e-10, 524288, 16, Classic, 6, 158.122, 0.993676, 15.675
1e-10, 524288, 16, Classic, 7, 158.122, 0.993676, 16.1743
1e-10, 524288, 16, Classic, 8, 158.122, 0.993676, 16.4544
1e-10, 524288, 16, Classic, mean, N.A, N.A, 15.8905
1e-10, 524288, 16, Classic, stddev, N.A, N.A, 0.659016
1e-10, 524288, 16, TaskBased, 0, 158.122, 0.993676, 17.9917
1e-10, 524288, 16, TaskBased, 1, 158.122, 0.993676, 17.5575
1e-10, 524288, 16, TaskBased, 2, 158.122, 0.993676, 16.819
1e-10, 524288, 16, TaskBased, 3, 158.122, 0.993676, 17.6567
1e-10, 524288, 16, TaskBased, 4, 158.122, 0.993676, 17.7426
1e-10, 524288, 16, TaskBased, 5, 158.122, 0.993676, 17.7856
1e-10, 524288, 16, TaskBased, 6, 158.122, 0.993676, 17.8625
1e-10, 524288, 16, TaskBased, 7, 158.122, 0.993676, 17.7141
1e-10, 524288, 16, TaskBased, 8, 158.122, 0.993676, 17.9015
1e-10, 524288, 16, TaskBased, mean, N.A, N.A, 17.6701
1e-10, 524288, 16, TaskBased, stddev, N.A, N.A, 0.344931
1e-08, 32768, 1, Classic, 0, 20.7462, 0.951798, 3.18691
1e-08, 32768, 1, Classic, 1, 20.7462, 0.951798, 3.16974
1e-08, 32768, 1, Classic, 2, 20.7462, 0.951798, 2.9602
1e-08, 32768, 1, Classic, 3, 20.7462, 0.951798, 2.90772
1e-08, 32768, 1, Classic, 4, 20.7462, 0.951798, 2.86143
1e-08, 32768, 1, Classic, 5, 20.7462, 0.951798, 2.87301
1e-08, 32768, 1, Classic, 6, 20.7462, 0.951798, 2.85854
1e-08, 32768, 1, Classic, 7, 20.7462, 0.951798, 2.84648
1e-08, 32768, 1, Classic, 8, 20.7462, 0.951798, 2.8691
1e-08, 32768, 1, Classic, mean, N.A, N.A, 2.94812
1e-08, 32768, 1, Classic, stddev, N.A, N.A, 0.13494
1e-08, 32768, 1, TaskBased, 0, 20.7462, 0.951798, 2.84222
1e-08, 32768, 1, TaskBased, 1, 20.7462, 0.951798, 2.84098
1e-08, 32768, 1, TaskBased, 2, 20.7462, 0.951798, 2.84177
1e-08, 32768, 1, TaskBased, 3, 20.7462, 0.951798, 2.83887
1e-08, 32768, 1, TaskBased, 4, 20.7462, 0.951798, 2.8466
1e-08, 32768, 1, TaskBased, 5, 20.7462, 0.951798, 2.85195
1e-08, 32768, 1, TaskBased, 6, 20.7462, 0.951798, 2.84215
1e-08, 32768, 1, TaskBased, 7, 20.7462, 0.951798, 2.8387
1e-08, 32768, 1, TaskBased, 8, 20.7462, 0.951798, 2.84679
1e-08, 32768, 1, TaskBased, mean, N.A, N.A, 2.84334
1e-08, 32768, 1, TaskBased, stddev, N.A, N.A, 0.00431302
1e-08, 65536, 2, Classic, 0, 36.7477, 0.972787, 4.72158
1e-08, 65536, 2, Classic, 1, 36.7477, 0.972787, 4.66099
1e-08, 65536, 2, Classic, 2, 36.7477, 0.972787, 5.15282
1e-08, 65536, 2, Classic, 3, 36.7477, 0.972787, 4.91069
1e-08, 65536, 2, Classic, 4, 36.7477, 0.972787, 4.83102
1e-08, 65536, 2, Classic, 5, 36.7477, 0.972787, 4.80557
1e-08, 65536, 2, Classic, 6, 36.7477, 0.972787, 4.81973
1e-08, 65536, 2, Classic, 7, 36.7477, 0.972787, 4.50808
1e-08, 65536, 2, Classic, 8, 36.7477, 0.972787, 4.40849
1e-08, 65536, 2, Classic, mean, N.A, N.A, 4.75766
1e-08, 65536, 2, Classic, stddev, N.A, N.A, 0.219647
1e-08, 65536, 2, TaskBased, 0, 36.7477, 0.972787, 4.75863
1e-08, 65536, 2, TaskBased, 1, 36.7477, 0.972787, 4.98669
1e-08, 65536, 2, TaskBased, 2, 36.7477, 0.972787, 4.55259
1e-08, 65536, 2, TaskBased, 3, 36.7477, 0.972787, 4.22447
1e-08, 65536, 2, TaskBased, 4, 36.7477, 0.972787, 4.22735
1e-08, 65536, 2, TaskBased, 5, 36.7477, 0.972787, 4.15974
1e-08, 65536, 2, TaskBased, 6, 36.7477, 0.972787, 4.43902
1e-08, 65536, 2, TaskBased, 7, 36.7477, 0.972787, 4.32929
1e-08, 65536, 2, TaskBased, 8, 36.7477, 0.972787, 4.23405
1e-08, 65536, 2, TaskBased, mean, N.A, N.A, 4.43465
1e-08, 65536, 2, TaskBased, stddev, N.A, N.A, 0.282334
1e-08, 131072, 4, Classic, 0, 66.4195, 0.984944, 5.73637
1e-08, 131072, 4, Classic, 1, 66.4195, 0.984944, 5.31528
1e-08, 131072, 4, Classic, 2, 66.4195, 0.984944, 5.16511
1e-08, 131072, 4, Classic, 3, 66.4195, 0.984944, 5.73834
1e-08, 131072, 4, Classic, 4, 66.4195, 0.984944, 5.71627
1e-08, 131072, 4, Classic, 5, 66.4195, 0.984944, 5.67797
1e-08, 131072, 4, Classic, 6, 66.4195, 0.984944, 5.32537
1e-08, 131072, 4, Classic, 7, 66.4195, 0.984944, 5.10987
1e-08, 131072, 4, Classic, 8, 66.4195, 0.984944, 5.26819
1e-08, 131072, 4, Classic, mean, N.A, N.A, 5.45031
1e-08, 131072, 4, Classic, stddev, N.A, N.A, 0.262585
1e-08, 131072, 4, TaskBased, 0, 66.4195, 0.984944, 6.27512
1e-08, 131072, 4, TaskBased, 1, 66.4195, 0.984944, 5.65178
1e-08, 131072, 4, TaskBased, 2, 66.4195, 0.984944, 5.53726
1e-08, 131072, 4, TaskBased, 3, 66.4195, 0.984944, 5.4956
1e-08, 131072, 4, TaskBased, 4, 66.4195, 0.984944, 5.89005
1e-08, 131072, 4, TaskBased, 5, 66.4195, 0.984944, 5.85018
1e-08, 131072, 4, TaskBased, 6, 66.4195, 0.984944, 6.19995
1e-08, 131072, 4, TaskBased, 7, 66.4195, 0.984944, 6.00609
1e-08, 131072, 4, TaskBased, 8, 66.4195, 0.984944, 6.69259
1e-08, 131072, 4, TaskBased, mean, N.A, N.A, 5.9554
1e-08, 131072, 4, TaskBased, stddev, N.A, N.A, 0.387594
1e-08, 262144, 8, Classic, 0, 119.501, 0.991632, 8.12661
1e-08, 262144, 8, Classic, 1, 119.501, 0.991632, 7.7932
1e-08, 262144, 8, Classic, 2, 119.501, 0.991632, 7.56447
1e-08, 262144, 8, Classic, 3, 119.501, 0.991632, 7.33782
1e-08, 262144, 8, Classic, 4, 119.501, 0.991632, 7.4023
1e-08, 262144, 8, Classic, 5, 119.501, 0.991632, 7.46104
1e-08, 262144, 8, Classic, 6, 119.501, 0.991632, 7.23446
1e-08, 262144, 8, Classic, 7, 119.501, 0.991632, 7.15406
1e-08, 262144, 8, Classic, 8, 119.501, 0.991632, 7.57179
1e-08, 262144, 8, Classic, mean, N.A, N.A, 7.5162
1e-08, 262144, 8, Classic, stddev, N.A, N.A, 0.298562
1e-08, 262144, 8, TaskBased, 0, 119.501, 0.991632, 8.06515
1e-08, 262144, 8, TaskBased, 1, 119.501, 0.991632, 7.91288
1e-08, 262144, 8, TaskBased, 2, 119.501, 0.991632, 7.94537
1e-08, 262144, 8, TaskBased, 3, 119.501, 0.991632, 8.48829
1e-08, 262144, 8, TaskBased, 4, 119.501, 0.991632, 7.90956
1e-08, 262144, 8, TaskBased, 5, 119.501, 0.991632, 8.49656
1e-08, 262144, 8, TaskBased, 6, 119.501, 0.991632, 8.27791
1e-08, 262144, 8, TaskBased, 7, 119.501, 0.991632, 8.11436
1e-08, 262144, 8, TaskBased, 8, 119.501, 0.991632, 8.41693
1e-08, 262144, 8, TaskBased, mean, N.A, N.A, 8.18078
1e-08, 262144, 8, TaskBased, stddev, N.A, N.A, 0.244441
1e-08, 524288, 16, Classic, 0, 216.496, 0.995381, 13.019
1e-08, 524288, 16, Classic, 1, 216.496, 0.995381, 12.2494
1e-08, 524288, 16, Classic, 2, 216.496, 0.995381, 11.8314
1e-08, 524288, 16, Classic, 3, 216.496, 0.995381, 11.8958
1e-08, 524288, 16, Classic, 4, 216.496, 0.995381, 11.4973
1e-08, 524288, 16, Classic, 5, 216.496, 0.995381, 11.7936
1e-08, 524288, 16, Classic, 6, 216.496, 0.995381, 11.8556
1e-08, 524288, 16, Classic, 7, 216.496, 0.995381, 11.6578
1e-08, 524288, 16, Classic, 8, 216.496, 0.995381, 11.7048
1e-08, 524288, 16, Classic, mean, N.A, N.A, 11.9449
1e-08, 524288, 16, Classic, stddev, N.A, N.A, 0.451793
1e-08, 524288, 16, TaskBased, 0, 216.496, 0.995381, 13.3237
1e-08, 524288, 16, TaskBased, 1, 216.496, 0.995381, 13.7168
1e-08, 524288, 16, TaskBased, 2, 216.496, 0.995381, 13.6597
1e-08, 524288, 16, TaskBased, 3, 216.496, 0.995381, 13.7945
1e-08, 524288, 16, TaskBased, 4, 216.496, 0.995381, 13.6023
1e-08, 524288, 16, TaskBased, 5, 216.496, 0.995381, 13.784
1e-08, 524288, 16, TaskBased, 6, 216.496, 0.995381, 13.7656
1e-08, 524288, 16, TaskBased, 7, 216.496, 0.995381, 13.9864
1e-08, 524288, 16, TaskBased, 8, 216.496, 0.995381, 13.6776
1e-08, 524288, 16, TaskBased, mean, N.A, N.A, 13.7012
1e-08, 524288, 16, TaskBased, stddev, N.A, N.A, 0.178832
1e-06, 32768, 1, Classic, 0, 29.6381, 0.96626, 2.47309
1e-06, 32768, 1, Classic, 1, 29.6381, 0.96626, 2.45573
1e-06, 32768, 1, Classic, 2, 29.6381, 0.96626, 2.45513
1e-06, 32768, 1, Classic, 3, 29.6381, 0.96626, 2.46492
1e-06, 32768, 1, Classic, 4, 29.6381, 0.96626, 2.46248
1e-06, 32768, 1, Classic, 5, 29.6381, 0.96626, 2.46078
1e-06, 32768, 1, Classic, 6, 29.6381, 0.96626, 2.45867
1e-06, 32768, 1, Classic, 7, 29.6381, 0.96626, 2.46437
1e-06, 32768, 1, Classic, 8, 29.6381, 0.96626, 2.45944
1e-06, 32768, 1, Classic, mean, N.A, N.A, 2.46162
1e-06, 32768, 1, Classic, stddev, N.A, N.A, 0.00549701
1e-06, 32768, 1, TaskBased, 0, 29.6381, 0.96626, 2.46173
1e-06, 32768, 1, TaskBased, 1, 29.6381, 0.96626, 2.45837
1e-06, 32768, 1, TaskBased, 2, 29.6381, 0.96626, 2.45739
1e-06, 32768, 1, TaskBased, 3, 29.6381, 0.96626, 2.45846
1e-06, 32768, 1, TaskBased, 4, 29.6381, 0.96626, 2.4581
1e-06, 32768, 1, TaskBased, 5, 29.6381, 0.96626, 2.46218
1e-06, 32768, 1, TaskBased, 6, 29.6381, 0.96626, 2.47567
1e-06, 32768, 1, TaskBased, 7, 29.6381, 0.96626, 2.46009
1e-06, 32768, 1, TaskBased, 8, 29.6381, 0.96626, 2.45733
1e-06, 32768, 1, TaskBased, mean, N.A, N.A, 2.46104
1e-06, 32768, 1, TaskBased, stddev, N.A, N.A, 0.00576665
1e-06, 65536, 2, Classic, 0, 52.8176, 0.981067, 3.49741
1e-06, 65536, 2, Classic, 1, 52.8176, 0.981067, 3.35736
1e-06, 65536, 2, Classic, 2, 52.8176, 0.981067, 3.47173
1e-06, 65536, 2, Classic, 3, 52.8176, 0.981067, 2.84766
1e-06, 65536, 2, Classic, 4, 52.8176, 0.981067, 2.96013
1e-06, 65536, 2, Classic, 5, 52.8176, 0.981067, 3.25923
1e-06, 65536, 2, Classic, 6, 52.8176, 0.981067, 3.19507
1e-06, 65536, 2, Classic, 7, 52.8176, 0.981067, 3.62568
1e-06, 65536, 2, Classic, 8, 52.8176, 0.981067, 3.44391
1e-06, 65536, 2, Classic, mean, N.A, N.A, 3.29535
1e-06, 65536, 2, Classic, stddev, N.A, N.A, 0.257663
1e-06, 65536, 2, TaskBased, 0, 52.8176, 0.981067, 3.17524
1e-06, 65536, 2, TaskBased, 1, 52.8176, 0.981067, 3.56059
1e-06, 65536, 2, TaskBased, 2, 52.8176, 0.981067, 3.55396
1e-06, 65536, 2, TaskBased, 3, 52.8176, 0.981067, 3.45388
1e-06, 65536, 2, TaskBased, 4, 52.8176, 0.981067, 3.48091
1e-06, 65536, 2, TaskBased, 5, 52.8176, 0.981067, 3.47018
1e-06, 65536, 2, TaskBased, 6, 52.8176, 0.981067, 3.46938
1e-06, 65536, 2, TaskBased, 7, 52.8176, 0.981067, 3.48235
1e-06, 65536, 2, TaskBased, 8, 52.8176, 0.981067, 3.49447
1e-06, 65536, 2, TaskBased, mean, N.A, N.A, 3.46011
1e-06, 65536, 2, TaskBased, stddev, N.A, N.A, 0.11313
1e-06, 131072, 4, Classic, 0, 96.1094, 0.989595, 3.57864
1e-06, 131072, 4, Classic, 1, 96.1094, 0.989595, 3.72697
1e-06, 131072, 4, Classic, 2, 96.1094, 0.989595, 3.84341
1e-06, 131072, 4, Classic, 3, 96.1094, 0.989595, 3.92722
1e-06, 131072, 4, Classic, 4, 96.1094, 0.989595, 4.41294
1e-06, 131072, 4, Classic, 5, 96.1094, 0.989595, 4.24664
1e-06, 131072, 4, Classic, 6, 96.1094, 0.989595, 4.0556
